,text,date,city,state
0,#2 while waiting on my 3rd client this Am. #LetsFukingGooo‼️ @ Grand Central Terminal https://t.co/5QhznuGqZu,Fri Jan 11 13:00:00 +0000 2019,Manhattan,NY
1,@cWarden94 @D_cline9 Nit as trash as your takes tho,Fri Jan 11 13:00:00 +0000 2019,Bowling Green,KY
2,It is heartwarming listening to the right call people out as illegals and show such deep appreciation for victims o… https://t.co/76YL0DBc4L,Fri Jan 11 13:00:00 +0000 2019,Los Angeles,CA
3,Big Ben saving the day 🤭👏🏼,Fri Jan 11 13:00:00 +0000 2019,Hartford,CT
4,@antxzamo yea??,Fri Jan 11 13:00:00 +0000 2019,Kendall,FL
5,"💁 FYI…in case you didn't know
https://t.co/8uyeN9Y7Tk",Fri Jan 11 13:00:01 +0000 2019,Ipswich,MA
6,Alnashamah النشامى ❤️❤️❤️❤️ https://t.co/8C9Sf19zgd,Fri Jan 11 13:00:00 +0000 2019,Danbury,CT
7,@HannahBrooks25 Sexy sweet ass😍♥️💋💋💋💋♥️♥️♥️♥️,Fri Jan 11 13:00:01 +0000 2019,Brooklyn,NY
8,@Local12 https://t.co/qFfmchoUHH,Fri Jan 11 13:00:01 +0000 2019,Middletown,OH
9,"Good morning, Detroit! :) #Sunrise 08:00, noon 12:40, sunset 17:20 EST (UTC-5), January 11. Day length: 9h 20m.",Fri Jan 11 13:00:02 +0000 2019,Detroit,MI
10,"OK, I take it all back, Zwift is kind of cool #stillratherbeoutside @ Abetting Writers Unlimited https://t.co/GSDLGM3HpB",Fri Jan 11 13:00:02 +0000 2019,Acton,MA
11,"this way please
.
.
.
.
.
.
.
#chicago #choosechicago #enjoyillinois #nbcchicago #abc7chicago #trib2019… https://t.co/SmsBKZ51W7",Fri Jan 11 13:00:02 +0000 2019,Chicago,IL
12,Smart people never going to make a lot of fat for themselves body cause it going to make heart pressure or cancer or illness @DarkoGrncarov,Fri Jan 11 13:00:02 +0000 2019,Fremont,CA
13,Clearly their biggest need lmao wtf wrong with people,Fri Jan 11 13:00:03 +0000 2019,Beloit,WI
14,@Cbp8Cindy @confessions_cup @ja2cook @hmgivingsoul @JustJane2019 @linds4fins @suziday123 @TheAngelOrsini… https://t.co/lMT6mkfO0y,Fri Jan 11 13:00:02 +0000 2019,Cleveland,OH
15,"some of y’all don’t wash y’all faces b4 bed &amp; guess what? It fucking shows, u can’t b trusted",Fri Jan 11 13:00:03 +0000 2019,Cranford,NJ
16,I’m literally breathing in cold air to ease the stress 😂🙄,Fri Jan 11 13:00:03 +0000 2019,Tucson,AZ
17,@shannonmpotocar I THOUGHT THIS ONLY HAPPENED TO ME,Fri Jan 11 13:00:03 +0000 2019,Morgantown,WV
18,#Chromecast saved my #TCL #RokuTV since it goes blind after just a few minutes and can't see either of my networks… https://t.co/NKSSOkdESX,Fri Jan 11 13:00:04 +0000 2019,Albion,MI
19,Join the MarineMax team! See our latest job opening here: https://t.co/E8HI3hXpu6 #boating #sailing,Fri Jan 11 13:00:04 +0000 2019,Sarasota,FL
20,@therealminter Why should it bother anyone?,Fri Jan 11 13:00:04 +0000 2019,Norfolk,VA
21,"@rob_whodat @ForeverRanger91 @LRiddickESPN But everything aside, good luck to the Saints this weekend. Should be a fun game.",Fri Jan 11 13:00:04 +0000 2019,Sibley,IA
22,https://t.co/YmEvPVQvFs,Fri Jan 11 13:00:04 +0000 2019,Logan,UT
23,"You are not in control of how life unfolds, no matter how hard you try. #letgoletgod #letgo… https://t.co/sItCq0qwJV",Fri Jan 11 13:00:03 +0000 2019,Manhattan,NY
24,@hotairblog I've been ready. https://t.co/kIs51WEPIK,Fri Jan 11 13:00:04 +0000 2019,Tallahassee,FL
25,Hi 🙃,Fri Jan 11 13:00:05 +0000 2019,Dallas,TX
