,text,date,city,state
0,"@hotairblog @WalshFreedom Or Gun violence, or healthcare.",Fri Jan 11 12:00:00 +0000 2019,Port Arthur,TX
1,"Is it weird that it's early morning, I'm up before my alarm, but I'm so excited because I found a new credit card o… https://t.co/7QWwkbFEMn",Fri Jan 11 12:00:00 +0000 2019,Tysons Corner,VA
2,"Today: BLUF Night at Eagle LA - Fri. Jan 11th  Mr Leather Eagle LA Contest Weekend, one of the best leather… https://t.co/4agEholydp",Fri Jan 11 12:00:01 +0000 2019,Los Angeles,CA
3,"Thought for the Day-
#AAGF
#WEareLakota
@jhay_da_man https://t.co/AkqZWGrxbg",Fri Jan 11 12:00:01 +0000 2019,Princeton,OH
4,McConnel’s duplicity continues to amaze.,Fri Jan 11 12:00:01 +0000 2019,Westerly,RI
5,😂😂😂,Fri Jan 11 12:00:01 +0000 2019,Cincinnati,OH
6,im start fighting my coworkers. stg,Fri Jan 11 12:00:02 +0000 2019,Four Corners,FL
7,"@MickeySteppe Yep. Oil is the exact reason why nations in the Middle East are wealthy. When oil runs dry, those cou… https://t.co/AbNrFFYEFZ",Fri Jan 11 12:00:02 +0000 2019,Westlake,OH
8,@Soozala2 @DavidCayJ @JeremyKappell Absurd,Fri Jan 11 12:00:03 +0000 2019,Greece,NY
9,👍,Fri Jan 11 12:00:03 +0000 2019,Ocala,FL
10,@wessssst Stop,Fri Jan 11 12:00:03 +0000 2019,Orlando,FL
11,@internetcontent You will do great my furry friend,Fri Jan 11 12:00:03 +0000 2019,Ridgefield Park,NJ
12,7 Wild Facts You May Not Know About Seahorses https://t.co/3a3F8ewWqy via @OurOcean,Fri Jan 11 12:00:03 +0000 2019,Los Angeles,CA
13,Why pregnant bitches keep bothering me 😂😂😂🤦🏽‍♀️ worry about who gonna help you take care of that baby bitch not me 😂 .,Fri Jan 11 12:00:03 +0000 2019,Washington,DC
14,"06:57 Temp. 44.1°F, Hum. 86%, Dewp. 38.8°F, Bar. 1019.8 hpa, Rain Today 0 inch, Wind ° 0 kn",Fri Jan 11 12:00:03 +0000 2019,Seminole,FL
15,#Carpool #SanDiego -&gt; #Tucson rideshare 1 Seat offered https://t.co/mYhV5DzdJy,Fri Jan 11 12:00:04 +0000 2019,San Diego,CA
16,Yep.,Fri Jan 11 12:00:04 +0000 2019,Austin,TX
17,"Happy Hour at 501 Sports Bar 2-7PM, Jan 11 2019 @ 501 Sports Bar , https://t.co/fW8c7Iwfbk",Fri Jan 11 12:00:04 +0000 2019,Youngsville,LA
18,Entonces voy a juagar XB1 y pal carajo,Fri Jan 11 12:00:04 +0000 2019,Oriente,co
19,@RepJoseSerrano Taking money from #PuertoRico to build a #wall is akin to stealing bread from a child to feed a thi… https://t.co/dYq0FcWbpa,Fri Jan 11 12:00:05 +0000 2019,Frailes,SA
20,The Marathon bar.,Fri Jan 11 12:00:05 +0000 2019,Northampton,MA
21,@apocrypals fancy some light reading? I just love used bookstores! This little gem has been floating around since 1… https://t.co/LtOZqNVQMV,Fri Jan 11 12:00:05 +0000 2019,Carmel,IN
22,Defender mi ideología buena o mala pero mía tan humana como la contradicción... en Las Piedras https://t.co/MErUuzalTJ,Fri Jan 11 12:00:06 +0000 2019,Las Piedras,SA
23,im start fighting my coworkers. stg,Fri Jan 11 12:00:02 +0000 2019,Four Corners,FL
24,@aref4950 Amen.,Fri Jan 11 12:00:06 +0000 2019,Dallas,TX
25,@aref4950 Amen.,Fri Jan 11 12:00:06 +0000 2019,Dallas,TX
26,Wtf,Fri Jan 11 12:00:06 +0000 2019,Middletown,OH
27,"Here's how I feel whenever I get an invitation I wish I could say yes to, but am feeling too busy...
#ces2019 https://t.co/em5V9n6Zdy",Fri Jan 11 12:00:06 +0000 2019,Las Vegas,NV
28,u got too much dip on ya chip,Fri Jan 11 12:00:07 +0000 2019,Atlanta,GA
29,@TheMixedAspect @RAD_6 So? Who r u,Fri Jan 11 12:00:07 +0000 2019,Brooklyn,NY
30,@pfcidb #abramsfreaksunite,Fri Jan 11 12:00:07 +0000 2019,Jamestown,NC
31,You gotta genuinely not give a fuck,Fri Jan 11 12:00:07 +0000 2019,Lancaster,PA
32,To call off work and stay in bed all day or go out in the cold and go to work for 8 hours🤔,Fri Jan 11 12:00:07 +0000 2019,Burton,OH
33,"This seasonal depression HAS GOT TO GO! 

I need to move somewhere that has less wintery winter. I mentally can no longer do cold and dark.",Fri Jan 11 12:00:08 +0000 2019,Boston,MA
34,@PAJProduction Thx Porche. :),Fri Jan 11 12:00:08 +0000 2019,Portland,OR
35,1984,Fri Jan 11 12:00:08 +0000 2019,Columbus,OH
36,"06:48 Temp. 26.4°F, Hum. 76%, Dewp. 18°F, Bar. 30.27 inHg, Rain Today 0 inch, Wind 270° 0.3 m/s  #WUTV #knchamps26 #WECTwx",Fri Jan 11 12:00:07 +0000 2019,Hampstead,NC
