,text,date,city,state
0,@LaurenCholette @funder a rare find lol,Mon Jan 07 13:00:00 +0000 2019,Hudsonville,MI
1,✊🏼 Yes #FreedomOfExpression #RightToProtest #HumanRights,Mon Jan 07 13:00:00 +0000 2019,Concord,NC
2,"Wind Tunnel Testing today at ARC Indy.
-
We will be closed until early afternoon due to testing. For any urgent mat… https://t.co/kmB8cu2fwt",Mon Jan 07 13:00:00 +0000 2019,Indianapolis,IN
3,Rockin the crazy shag,Mon Jan 07 13:00:00 +0000 2019,Charlotte,NC
4,Crash; 2 center lanes blocked in #MiamiGardens on SR-91 Florida's Tpke SB after NW 199th St #SFLtraffic https://t.co/US2j7IOBPL,Mon Jan 07 13:00:00 +0000 2019,Norland,FL
5,Amh teacher sounds like an absolute unit 🐐,Mon Jan 07 13:00:01 +0000 2019,Tallahassee,FL
6,@LegitMikeFinn @brownhk @FreeGirlNowNYC @ddale8 😂😂,Mon Jan 07 13:00:01 +0000 2019,Tarpon Springs,FL
7,"Rising temperature at 49.0°. It feels like 46.8°. Wind 3.0mph, gusting to 5.0mph. It has rained 0.00"" in the last hour, 0.07"" total today.",Mon Jan 07 13:00:01 +0000 2019,Urbandale,IA
8,كل سنة وانت طيب يالعضيد ❤️@bindousar,Mon Jan 07 13:00:01 +0000 2019,Tulsa,OK
9,@ShortyStacked Morning glory (hole).,Mon Jan 07 13:00:01 +0000 2019,Denton,TX
10,We wear red so they don’t see us bleed,Mon Jan 07 13:00:01 +0000 2019,Pearl City,HI
11,"Wind 7.0 mph SSE. Barometer 29.791 in, Falling. Temperature 57.8 °F. Rain today 0.00 in. Humidity 75%",Mon Jan 07 13:00:01 +0000 2019,Creve Coeur,MO
12,"@OnurrBilginn Uyumak mı, o ne? 😂",Mon Jan 07 13:00:01 +0000 2019,Paradise,NV
13,@RealJamesWoods Heartbreaking.,Mon Jan 07 13:00:01 +0000 2019,Mullica Hill,NJ
14,"current weather in Mansfield: scattered clouds, 33°F
72% humidity, wind 10mph, pressure 1023mb",Mon Jan 07 13:00:01 +0000 2019,Mansfield,OH
15,Views going up👍🏽👍🏽👍🏽👍🏽,Mon Jan 07 13:00:01 +0000 2019,Chillum,MD
16,#Carpool #Houston -&gt; #Houston rideshare 3 Seats offered #splitcosts https://t.co/vaGdhq9NCD,Mon Jan 07 13:00:02 +0000 2019,Houston,TX
17,Accident in #Folsom on US-322 Both EB/WB at Piney Hollow Rd #traffic https://t.co/BtegSRlPfO,Mon Jan 07 13:00:02 +0000 2019,Berryland,NJ
18,@briantopping66 @kevin_ponton @luluHru @fckngary @SpaCare @spweber54 @LadyNY4Ever @cali_curmudgeon @sherrynron… https://t.co/RI6EFaQc1q,Mon Jan 07 13:00:02 +0000 2019,Paw Paw,MI
19,@larryfigurski Matt Stafford has an awesome game yesterday....,Mon Jan 07 13:00:02 +0000 2019,Oshtemo,MI
20,@realDonaldTrump He is lying again.  DO NOT EVER VOTE FOR A REPUBLICAN!,Mon Jan 07 13:00:02 +0000 2019,Renton,WA
21,@_RickTheRuler Yess ! I need someone to talk about it with 😂😂,Mon Jan 07 13:00:02 +0000 2019,Houston,TX
22,Rise and Grind Boys. 💋,Mon Jan 07 13:00:02 +0000 2019,Dallas,TX
23,@SamanthRpanthaR You’re welcome https://t.co/1afbpUHkdq,Mon Jan 07 13:00:01 +0000 2019,San Marcos,TX
24,@realDonaldTrump Why is everyone acting so CRAZY!!!??? https://t.co/M6Yv30ZI3O,Mon Jan 07 13:00:03 +0000 2019,Hanahan,SC
25,@LGDoingThings the racism in this tweet is just too much for me this morning.,Mon Jan 07 13:00:03 +0000 2019,Springfield,IL
26,"""The mark of success is not about the amount of money you make but rather the impact you have on the world."" Ariaa… https://t.co/rKyZFe2nRI",Mon Jan 07 13:00:04 +0000 2019,Colorado Springs,CO
27,"3.0 magnitude #earthquake. 3 km from Guaynabo, #Guaynabo, Puerto Rico https://t.co/ZV6S7rXyBv",Mon Jan 07 13:00:04 +0000 2019,San Juan,SA
28,I chase money the females come with it 🤷🏾‍♂️,Mon Jan 07 13:00:04 +0000 2019,Ewing,NJ
29,See this Instagram video by @gigisbeecave https://t.co/hAcpMvlgGI,Mon Jan 07 13:00:04 +0000 2019,Trinity,FL
30,1/7/19 #TodaysOracle #ExpressYourLove 😉 #TheFourAgreements #DonMiguelRuiz @hayhouse https://t.co/mIiwmb3zBO,Mon Jan 07 13:00:04 +0000 2019,Wind Point,WI
31,Just look at it 💕💕😈,Mon Jan 07 13:00:04 +0000 2019,McDonough,GA
32,In BAM I trust... @Brandonm21Moore,Mon Jan 07 13:00:05 +0000 2019,Orlando,FL
33,Thankyou bro!,Mon Jan 07 13:00:05 +0000 2019,Lynwood,IL
34,#dotpict https://t.co/KsEK0HcZKV,Mon Jan 07 13:00:05 +0000 2019,Washington,DC
35,"@kalediaia @AP You are very naive, sir. Saudi officials don't give a damn about her rights!",Mon Jan 07 13:00:05 +0000 2019,Brooklyn,NY
36,@WillieGeist @KellyO Why is the Press so bad at asking questions?  Is there a class or something that can help?,Mon Jan 07 13:00:05 +0000 2019,Fairfax,VA
37,I lost a Juul Friday and one last night. That just reassures me there’s still no hope.,Mon Jan 07 13:00:06 +0000 2019,Catawba Island,OH
38,“And my middle name is..” 😂😂,Mon Jan 07 13:00:06 +0000 2019,Arlington,VA
39,Mira quien llego yo el dueño del party 🎶,Mon Jan 07 13:00:06 +0000 2019,San Juan,SA
40,get him in the gym with you this summer.,Mon Jan 07 13:00:04 +0000 2019,Washington,DC
41,"When the gender of the candidate is ignored, all 3 questions definitely matter, cut it out and refocus on the issue… https://t.co/aR6t5IX6II",Mon Jan 07 13:00:06 +0000 2019,Branford,CT
42,LINK: Strat Made from 1200 Colored Pencils  https://t.co/znsKtowKlS,Mon Jan 07 13:00:06 +0000 2019,Manhattan,NY
43,@Naava_Mo 🐱✌🏾💣,Mon Jan 07 13:00:06 +0000 2019,Greenville,MS
44,@katliak Yayy 😄👩🏾‍🍳 thank u!!! 💘,Mon Jan 07 13:00:07 +0000 2019,Pikesville,MD
45,Exactly. I both love and hate this analogy.,Mon Jan 07 13:00:07 +0000 2019,Chestertown,MD
46,"Good morning and happy Monday! 

Struggling to get up in the morning?

 Follow our posts throughout the week for ti… https://t.co/D5EJOoSffg",Mon Jan 07 13:00:07 +0000 2019,Virginia Beach,VA
47,"Temp 54.6°F Rising, Dew point 48.2°
Pressure 29.859in Falling slowly
Wind ESE 3mph
Rain today 0.00in
https://t.co/gPtnr1W2Cn #stlwx #mowx",Mon Jan 07 13:00:07 +0000 2019,Oakville,MO
48,@NBCNewYork and NYC as a whole. Socialist Tax crazed Democrats have killed it,Mon Jan 07 13:00:07 +0000 2019,Palm Harbor,FL
49,Idk what this means but Im here for it,Mon Jan 07 13:00:05 +0000 2019,Cleveland,OH
50,@bruunaa78463565 😂 https://t.co/BtfenOi8OV,Mon Jan 07 13:00:07 +0000 2019,Queens,NY
51,@suziday123 @AkronWineGuru @SLBriscoe @Cbp8Cindy @joneill55 @ccatmpt @FionaMorgan79 @Julianna_glass… https://t.co/WAnJK3dC8N,Mon Jan 07 13:00:07 +0000 2019,Cleveland,OH
52,Playing the star again,Mon Jan 07 13:00:08 +0000 2019,San Diego,CA
53,@logannnxo Lol well I’m glad it’s just me then! I do love it tho!,Mon Jan 07 13:00:08 +0000 2019,Grand Rapids,MI
54,@realDonaldTrump No wall for you asshole,Mon Jan 07 13:00:08 +0000 2019,South Park Township,PA
55,TEST_GEO_Hierarchy: 12abfa7b-542e-450b-858f-2b9c8e537ba5,Mon Jan 07 13:00:08 +0000 2019,Los Angeles,CA
56,@QueenAnna420 Ok I’ll have to get that,Mon Jan 07 13:00:08 +0000 2019,Gulfport,MS
57,"@gatewaypundit @AOC EXCLUSIVE:  James, in college,  went by the name Jim.",Mon Jan 07 13:00:08 +0000 2019,Puyallup,WA
58,"Ordered a Philly Cheesteak ‘whit’, without even stuttering. Does this make me a true Fresh Prince? I think so. @ Ph… https://t.co/1bjbGoCpUl",Mon Jan 07 13:00:08 +0000 2019,Philadelphia,PA
59,@KaitMarieox @Millie__Weaver https://t.co/Yz7bnA3yzX,Mon Jan 07 13:00:08 +0000 2019,Boston,MA
60,"clear sky -&gt; few clouds
humidity up 86% -&gt; 87%",Mon Jan 07 13:00:09 +0000 2019,Golden Glades,FL
61,Classic https://t.co/Wwzd2hczu0,Mon Jan 07 13:00:09 +0000 2019,New Hartford Center,CT
62,"Temp: 38.2°F - Dew Point: 35.8° - Wind: ESE @ 14.5 mph - Gust: 16.6 - Rain Today: 0.31in. - Pressure: 29.72in, - Trend: Falling quickly",Mon Jan 07 13:00:09 +0000 2019,Bloomfield,WI
63,"Can you recommend anyone for this #Accounting job in Ocean Twp, NJ? Click the link in our bio to see it and more. Bookkeeper at Accountemps",Mon Jan 07 13:00:09 +0000 2019,Waretown,NJ
64,"See our latest Washington, DC #Sales job and click the link in our bio to apply: Enterprise Architect - East at DELL #DellJobs",Mon Jan 07 13:00:09 +0000 2019,Washington,DC
65,"Interested in a job in Owensboro, KY? This could be a great fit: https://t.co/bvJH5Z6jkq",Mon Jan 07 13:00:09 +0000 2019,Owensboro,KY
